Year_Coll,num_samples,Borough_broad,neighb_code,Neighb_Name,epa_pb_lim,pct_1d_pb_over_epa,num_1d_pb_over_epa,max_1d_pb,min_1d_pb,avg_1d_pb,med_1d_pb,range_1d_pb,med_1d_pb_diff_epa,avg_1d_pb_diff_epa,pct_2d_pb_over_epa,max_2d_pb,min_2d_pb,avg_2d_pb,med_2d_pb,range_2d_pb,med_2d_pb_diff_epa,avg_2d_pb_diff_epa
2020,28,Staten Island,504,South Beach - Tottenville,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.006,,0.00035714285714285714,0.0,0.006,-0.015,-0.014642857142857141
2020,49,Queens,409,Southeast Queens,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,6,0.059,0.000,0.0030816326530612244,0.0,0.059,-0.015,-0.011918367346938775
2020,71,Queens,407,Southwest Queens,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,1,0.029,0.000,0.0008732394366197184,0.0,0.029,-0.015,-0.01412676056338028
2020,29,Staten Island,502,Stapleton - St. George,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.006,0.000,0.0003448275862068966,0.0,0.006,-0.015,-0.014655172413793103
2020,38,Brooklyn,205,Sunset Park,0.015,0,0,0.006,0.000,0.0005263157894736842,0.0,0.006,-0.015,-0.014473684210526316,0,0.015,0.000,0.0007894736842105264,0.0,0.015,-0.015,-0.014210526315789474
2020,112,Manhattan,309,Union Square - Lower East Side,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.007,0.000,0.00012500000000000003,0.0,0.007,-0.015,-0.014875
2020,82,Manhattan,305,Upper East Side,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.003,0.000,7.317073170731707e-05,0.0,0.003,-0.015,-0.014926829268292682
2020,188,Manhattan,304,Upper West Side,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,1,0.061,0.000,0.0006010638297872341,0.0,0.061,-0.015,-0.014398936170212765
2020,108,Manhattan,301,Washington Heights - Inwood,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.004,0.000,0.00011111111111111112,0.0,0.004,-0.015,-0.014888888888888889
2020,147,Queens,402,West Queens,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,2,0.037,0.000,0.0008231292517006804,0.0,0.037,-0.015,-0.01417687074829932
2020,142,Brooklyn,211,Williamsburg - Bushwick,0.015,0,0,0.006,0.000,0.0006760563380281693,0.0,0.006,-0.015,-0.01432394366197183,0,0.016,0.000,0.0007183098591549298,0.0,0.016,-0.015,-0.01428169014084507
2020,20,Staten Island,503,Willowbrook,0.015,0,0,0.000,0.000,0.0,0.0,0.0,-0.015,-0.015,0,0.008,0.000,0.00075,0.0,0.008,-0.015,-0.014249999999999999
