Kit ID,Borough,Borough_broad,Zipcode,Date Collected,Year Collected,Date Received,Lead First_Draw (mg/L),Lead 1-2 Minute Flush (mg/L),Lead 5 Minute Flush (mg/L),Copper First Draw (mg/L),Copper 1-2 Minute Flush (mg/L),Copper 5 minute Flush (mg/L)
19265193,QUEENS,Queens,11102,11/01/2019,2019,11/07/2019,1.064,2.42,,0.047,0.033,
19264644,Queens,Queens,11433,03/08/2020,2020,03/10/2020,2.766,1.721,,0.569,0.249,
16228238,BROOKLYN,Brooklyn,11221,10/25/2017,2017,10/31/2017,5.219,1.519,,2.579,0.21,
16236324,COLLEGE POINT,Queens,11356,11/03/2017,2017,11/06/2017,0.119,0.883,,0.175,0.048,
18250693,MIDDLE VILLAGE,Queens,11379,07/07/2018,2018,07/17/2018,15.483,0.69,,1.253,0.287,
18255720,BROOKLYN,Brooklyn,11222,12/12/2018,2018,12/14/2018,0.003,0.661,,0.297,0.269,
18252330,BROOKLYN,Brooklyn,11215,09/29/2018,2018,10/02/2018,0.004,0.637,,0.322,0.18,
16231370,REGO PARK,Queens,11374,06/03/2016,2016,06/10/2016,0.186,0.573,,0.121,0.049,
18256288,BRONX,Bronx,10458,01/04/2019,2019,01/09/2019,0.005,0.463,,0.183,0.092,
16231547,BROOKLYN,Brooklyn,11205,05/19/2016,2016,05/23/2016,6.768,0.389,,2.098,0.117,
17338929,BROOKLYN,Brooklyn,11215,02/17/2017,2017,02/21/2017,0.014,0.281,0.004,0.252,0.046,0.027
16234099,NEW YORK,Manhattan,10002,08/19/2016,2016,08/23/2016,0.023,0.279,,0.088,1.755,
14221745,BROOKLYN,Brooklyn,11225,09/08/2014,2014,09/10/2014,0.006,0.173,,0.269,0.183,
16227392,STATEN ISLAND,Staten Island,10306,03/18/2016,2016,03/19/2016,0.675,0.158,,7.734,0.723,
16234505,BROOKLYN,Brooklyn,11235,08/26/2016,2016,08/29/2016,0.006,0.15,,0.131,0.016,
17344976,BROOKLYN,Brooklyn,11228,10/23/2017,2017,10/25/2017,0.004,0.15,0.004,0.138,0.042,0.015
16236601,COLLEGE POINT,Queens,11356,12/20/2016,2016,12/23/2016,0.003,0.149,,0.163,0.123,
16329220,STATEN ISLAND,Staten Island,10310,04/19/2016,2016,04/26/2016,0.008,0.131,0.002,0.123,0.082,0.012
16236240,BROOKLYN,Brooklyn,11207,01/03/2017,2017,01/09/2017,0.069,0.098,,0.626,0.34,
18246552,BROOKLYN,Brooklyn,11234,06/16/2018,2018,06/20/2018,0.021,0.093,,0.211,0.037,
17240529,NEW YORK,Manhattan,10025,05/18/2017,2017,05/24/2017,0.131,0.093,,0.204,0.111,
14220717,BROOKLYN,Brooklyn,11249,06/26/2014,2014,07/01/2014,0.007,0.088,,0.052,0.017,
17238115,BRONX,Bronx,10467,03/20/2017,2017,03/28/2017,0.026,0.086,,0.577,1.161,
20270847,Manhattan,Brooklyn,11234,08/12/2020,2020,08/21/2020,0.049,0.082,,0.264,0.203,
19363323,BROOKLYN,Brooklyn,11203,09/12/2019,2019,09/13/2019,0.034,0.08,0,0.158,0.072,0.009
18255435,WHITESTONE,Queens,11357,11/22/2018,2018,11/27/2018,0.259,0.079,,1.223,0.327,
18350681,BROOKLYN,Brooklyn,11234,07/08/2018,2018,07/10/2018,0.02,0.078,0.021,0.217,0.042,0.028
16235339,STATEN ISLAND,Staten Island,10310,10/03/2016,2016,10/07/2016,0.014,0.078,,0.143,0.016,
18249210,BROOKLYN,Brooklyn,11209,06/13/2018,2018,06/15/2018,0.013,0.077,,0.176,0.022,
14221769,NEW YORK,Manhattan,10036,09/15/2014,2014,09/23/2014,0.608,0.076,,1.015,0.117,
16230559,NEW YORK,Manhattan,10025,04/21/2016,2016,04/29/2016,0.484,0.075,,1.475,0.257,
14222367,NEW YORK,Manhattan,10012,01/05/2015,2015,01/07/2015,0.034,0.074,,0.104,0.065,
18253686,STATEN ISLAND,Staten Island,10306,10/05/2018,2018,10/09/2018,5.508,0.069,,0.118,0.016,
18251898,BROOKLYN,Brooklyn,11238,09/08/2018,2018,09/11/2018,0.058,0.067,,0.099,0.026,
18354349,BROOKLYN,Brooklyn,11215,10/20/2018,2018,10/22/2018,0.006,0.067,0.012,0.371,0.114,0.036
17240993,NEW YORK,Manhattan,10011,06/06/2017,2017,06/09/2017,0.073,0.067,,0.333,0.013,
14221227,FOREST HILLS,Queens,11375,05/20/2014,2014,05/23/2014,0.007,0.066,,0.212,0.033,
15223100,FAR ROCKAWAY,Queens,11693,05/28/2015,2015,06/01/2015,0.004,0.065,,0.127,0.098,
19260638,BROOKLYN,Brooklyn,11203,07/08/2019,2019,07/09/2019,0.013,0.064,,0.122,0.027,
20271317,Brooklyn,Manhattan,10023,08/05/2020,2020,08/14/2020,0.076,0.061,,1.184,1.052,
20268958,Queens,Queens,11103,03/04/2020,2020,03/05/2020,1.395,0.061,,0.543,0.051,
17243372,ROSEDALE,Queens,11422,08/19/2017,2017,08/24/2017,0,0.061,,0.078,0.907,
16236159,BROOKLYN,Brooklyn,11229,11/23/2016,2016,11/28/2016,0.006,0.059,,0.284,1.232,
20276112,Queens,Queens,11426,12/11/2020,2020,12/21/2020,0.032,0.059,,0.125,0.11,
15300368,BROOKLYN,Brooklyn,11228,08/25/2015,2015,08/27/2015,0.191,0.057,0.04,0.196,0.03,0.048
16225970,STATEN ISLAND,Staten Island,10306,01/12/2017,2017,01/20/2017,0.011,0.057,,0.338,0.056,
18354802,BROOKLYN,Brooklyn,11209,10/31/2018,2018,11/02/2018,0.01,0.056,0.002,0.266,0.039,0.021
18355859,BROOKLYN,Brooklyn,11223,12/20/2018,2018,12/24/2018,0.073,0.056,0.01,0.499,0.057,0.046
14221146,BRONX,Bronx,10469,04/30/2014,2014,05/02/2014,0.006,0.054,,0.154,0.02,
18355621,BROOKLYN,Brooklyn,11234,12/19/2018,2018,12/26/2018,0.007,0.053,0.002,0.237,0.034,0.018
20269138,Queens,Queens,11412,03/12/2020,2020,03/13/2020,0.024,0.053,,0.164,0.049,
14221015,BROOKLYN,Brooklyn,11231,03/30/2014,2014,04/07/2014,3.641,0.052,,2.114,0.165,
17245486,JAMAICA,Queens,11435,11/17/2017,2017,11/20/2017,0.014,0.052,,0.374,0.499,
19362093,BROOKLYN,Brooklyn,11218,07/22/2019,2019,07/23/2019,0.173,0.051,0.019,0.214,0.032,0.029
20371856,Manhattan,Brooklyn,11234,08/13/2020,2020,08/21/2020,0.017,0.051,0.006,0.16,0.021,0.019
17245087,BROOKLYN,Brooklyn,11216,11/01/2017,2017,11/02/2017,0.106,0.049,,0.386,0.088,
18253017,BROOKLYN,Brooklyn,11234,11/08/2018,2018,11/19/2018,0.011,0.049,,0.174,0.035,
17243876,BELLEROSE,Queens,11426,08/16/2017,2017,08/22/2017,0.006,0.048,,0.235,0.051,
15224261,BROOKLYN,Brooklyn,11209,11/14/2015,2015,11/20/2015,0.008,0.048,,0.109,0.024,
16229561,BROOKLYN,Brooklyn,11222,12/11/2018,2018,12/17/2018,0.007,0.048,,0.152,0.075,
18248426,JACKSON HEIGHTS,Queens,11372,04/16/2018,2018,04/17/2018,0.011,0.048,,0.13,0.03,
15222527,NEW YORK,Manhattan,10013,02/16/2015,2015,02/20/2015,0.566,0.048,,0.415,0.055,
14221614,BRONX,Bronx,10463,07/31/2014,2014,08/06/2014,0.017,0.047,,0.128,0.034,
16329223,FOREST HILLS,Queens,11375,05/01/2016,2016,05/06/2016,0.012,0.047,0.013,0.269,0.086,0.046
14221244,NEW YORK,Manhattan,10025,07/30/2014,2014,08/11/2014,2.015,0.047,,0.34,0.042,
14300313,BROOKLYN,Brooklyn,11223,06/02/2014,2014,07/09/2014,0.013,0.046,0.005,0.135,0.031,0.014
15223287,BROOKLYN,Brooklyn,11229,06/13/2015,2015,06/18/2015,0.02,0.046,,0.261,0.05,
17343744,NEW YORK,Manhattan,10003,08/11/2018,2018,08/16/2018,15.082,0.046,0.022,0.539,0.019,0.011
15223551,BRONX,Bronx,10466,07/12/2015,2015,07/21/2015,0.033,0.045,,0.055,0.023,
13220498,FOREST HILLS,Queens,11375,01/15/2014,2014,01/21/2014,0.021,0.044,,0.206,0.022,
14221486,BROOKLYN,Brooklyn,11230,09/23/2014,2014,09/30/2014,0.012,0.043,,0.126,0.031,
16329217,BROOKLYN,Brooklyn,11234,05/11/2016,2016,05/17/2016,0.006,0.043,0.003,0.134,0.017,0.01
17240337,BROOKLYN,Brooklyn,11238,05/04/2017,2017,05/11/2017,0.125,0.043,,0.283,0.038,
16329232,NEW YORK,Manhattan,10025,05/23/2016,2016,05/25/2016,0.094,0.043,0.03,0.154,0.123,0.118
19265046,QUEENS,Queens,11694,10/23/2019,2019,10/25/2019,0.003,0.043,,0.354,0.049,
18256320,BROOKLYN,Brooklyn,11216,01/01/2019,2019,01/04/2019,0.349,0.042,,0.327,0.272,
18354251,FOREST HILLS,Queens,11375,10/20/2018,2018,10/23/2018,0.008,0.042,0.002,0.257,0.024,0.013
19266833,Manhattan,Brooklyn,11204,01/08/2020,2020,02/07/2020,0.001,0.042,,0.286,0.022,
19264615,QUEENS,Queens,11423,11/17/2019,2019,11/21/2019,0.016,0.042,,0.106,0.027,
16329272,ASTORIA,Queens,11105,09/28/2016,2016,10/03/2016,0.007,0.041,0.002,0.293,0.034,0.021
19265333,BRONX,Bronx,10461,11/16/2019,2019,11/19/2019,0.006,0.041,,0.208,0.058,
14221143,BROOKLYN,Brooklyn,11223,04/27/2014,2014,05/01/2014,0.006,0.041,,0.134,0.016,
18255318,BROOKLYN,Brooklyn,11209,11/19/2018,2018,11/20/2018,0.008,0.041,,0.226,0.032,
17344063,FOREST HILLS,Queens,11375,08/31/2017,2017,09/05/2017,0.005,0.041,0.003,0.363,0.03,0.022
19264538,Queens,Queens,11355,11/18/2020,2020,11/23/2020,0.02,0.041,,0.208,0.027,
20268635,Queens,Queens,11356,02/27/2020,2020,02/28/2020,0.002,0.041,,0.271,0.103,
15300357,BROOKLYN,Brooklyn,11230,04/20/2015,2015,04/27/2015,0.018,0.04,0.004,0.189,0.022,0.017
15224398,BROOKLYN,Brooklyn,11235,11/26/2015,2015,12/07/2015,0.002,0.04,,0.25,0.024,
16228773,BROOKLYN,Brooklyn,11221,04/05/2016,2016,04/12/2016,0.007,0.04,,0.324,0.022,
18350680,BROOKLYN,Brooklyn,11222,07/09/2018,2018,07/13/2018,0.009,0.04,0.005,0.326,0.033,0.016
15224186,RIDGEWOOD,Queens,11385,11/04/2015,2015,11/09/2015,0.003,0.04,,0.369,0.039,
14221860,BRONX,Bronx,10461,12/29/2014,2014,01/02/2015,0.007,0.039,,0.227,0.025,
14222091,BROOKLYN,Brooklyn,11203,10/29/2014,2014,10/31/2014,0.01,0.039,,0.177,0.026,
16230255,BROOKLYN,Brooklyn,11215,04/16/2016,2016,04/21/2016,0.057,0.039,,0.987,0.121,
17243751,FOREST HILLS,Queens,11375,08/10/2017,2017,08/14/2017,0.004,0.039,,0.271,0.024,
16234128,NEW YORK,Manhattan,10025,08/10/2016,2016,08/18/2016,0,0.039,,0.235,0.727,
18246472,NEW YORK,Manhattan,10016,03/21/2018,2018,03/23/2018,0.017,0.039,,1.006,4.931,
18252437,RIDGEWOOD,Queens,11385,10/10/2018,2018,10/11/2018,0.006,0.039,,0.147,0.029,
14220991,SUNNYSIDE,Queens,11104,03/25/2014,2014,04/02/2014,0.008,0.039,,0.15,0.027,
14300316,BROOKLYN,Brooklyn,11215,06/23/2014,2014,06/27/2014,0.005,0.038,0.007,0.298,0.059,0.035
16329258,BROOKLYN,Brooklyn,11223,09/15/2016,2016,09/19/2016,0.005,0.038,0.003,0.23,0.015,0.01
18252665,BROOKLYN,Brooklyn,11216,10/05/2018,2018,10/09/2018,0.005,0.038,,0.238,0.024,
19262118,BROOKLYN,Brooklyn,11210,10/07/2019,2019,10/15/2019,0.007,0.038,,0.135,0.025,
19256667,BROOKLYN,Brooklyn,11220,01/13/2019,2019,01/15/2019,0.009,0.038,,0.203,0.027,
16229306,FOREST HILLS,Queens,11375,04/03/2016,2016,04/08/2016,0.004,0.038,,0.186,0.052,
16329282,JACKSON HEIGHTS,Queens,11372,11/02/2016,2016,11/07/2016,0.006,0.038,0.004,0.235,0.018,0.013
20272213,Manhattan,Brooklyn,11209,09/06/2020,2020,09/14/2020,0.007,0.038,,0.369,0.056,
20274937,Manhattan,Brooklyn,11229,10/26/2020,2020,11/09/2020,0.008,0.038,,0.101,0.011,
14222149,BROOKLYN,Brooklyn,11212,11/19/2014,2014,11/24/2014,0.006,0.037,,0.184,0.032,
16234398,BROOKLYN,Brooklyn,11213,08/19/2016,2016,08/22/2016,0.004,0.037,,0.156,0.053,
16235615,BROOKLYN,Brooklyn,11216,10/24/2016,2016,10/27/2016,0.02,0.037,,0.441,0.03,
16235513,JACKSON HEIGHTS,Queens,11372,10/16/2016,2016,10/20/2016,0.006,0.037,,0.242,0.02,
20267043,Manhattan,Brooklyn,11209,01/13/2020,2020,01/15/2020,0.007,0.037,,0.184,0.045,
20267088,Manhattan,Brooklyn,11229,02/02/2020,2020,02/05/2020,0.117,0.037,,0.059,0.029,
19362894,QUEENS,Queens,11379,08/24/2019,2019,08/26/2019,0.013,0.037,0.003,0.098,0.015,0.011
20270233,Queens,Queens,11372,08/13/2020,2020,08/21/2020,0.024,0.037,,0.209,0.211,
20370460,Queens,Queens,11385,10/20/2020,2020,10/30/2020,0.004,0.037,0.001,0.146,0.028,0.015
20371950,Queens,Queens,11103,09/21/2020,2020,09/28/2020,0.024,0.037,0.032,0.206,0.158,0.136
16231532,SUNNYSIDE,Queens,11104,05/18/2016,2016,05/23/2016,0.007,0.037,,0.106,0.012,
17237076,ASTORIA,Queens,11106,04/13/2017,2017,04/17/2017,0.097,0.036,,3.569,0.921,
17243543,BROOKLYN,Brooklyn,11228,08/01/2017,2017,08/04/2017,0.007,0.036,,0.155,0.021,
19261576,BROOKLYN,Brooklyn,11218,07/03/2019,2019,07/08/2019,0.496,0.036,,0.509,0.307,
19361282,BROOKLYN,Brooklyn,11234,06/18/2019,2019,06/19/2019,0.008,0.036,0.004,0.143,0.094,0.019
13220495,FOREST HILLS,Queens,11375,01/08/2014,2014,01/14/2014,0.008,0.036,,0.206,0.034,
20372202,Manhattan,Brooklyn,11238,09/10/2020,2020,09/18/2020,0.005,0.036,0.003,0.215,0.05,0.02
14300307,MASPETH,Queens,11378,04/18/2014,2014,04/22/2014,0.005,0.036,0.001,0.247,0.047,0.018
18248767,STATEN ISLAND,Staten Island,10309,04/27/2018,2018,04/30/2018,0.254,0.036,,0.237,0.155,
14221352,BROOKLYN,Brooklyn,11207,09/11/2014,2014,09/17/2014,0.004,0.035,,2.16,0.399,
15222988,BROOKLYN,Brooklyn,11226,05/01/2015,2015,05/06/2015,0.121,0.035,,0.531,0.264,
18254210,BROOKLYN,Brooklyn,11233,10/31/2018,2018,11/14/2018,0.003,0.035,,0.209,0.044,
18252287,BROOKLYN,Brooklyn,11216,09/17/2019,2019,09/19/2019,0.013,0.035,,0.241,0.035,
15300366,FLUSHING,Queens,11358,08/19/2015,2015,08/21/2015,0.004,0.035,0.002,0.133,0.017,0.011
17338225,JACKSON HEIGHTS,Queens,11372,02/13/2017,2017,02/21/2017,0.011,0.035,0.001,0.107,0.015,0.009
20370498,Queens,Queens,11357,06/13/2020,2020,06/19/2020,0.014,0.035,0.002,0.147,0.017,0.015
16232282,BROOKLYN,Brooklyn,11215,07/06/2016,2016,07/11/2016,0.004,0.034,,1.407,0.311,
15224140,LONG ISLAND CITY,Queens,11109,10/26/2015,2015,11/04/2015,0.017,0.034,,0.411,0.033,
18248745,MIDDLE VILLAGE,Queens,11379,04/25/2018,2018,04/30/2018,0.008,0.034,,0.105,0.02,
17242954,NEW YORK,Manhattan,10014,06/27/2017,2017,07/05/2017,0.01,0.034,,0.125,0.086,
18256168,QUEENS,Queens,11379,08/07/2019,2019,08/08/2019,0.005,0.034,,0.103,0.013,
19261330,QUEENS,Queens,11358,06/09/2019,2019,06/12/2019,0.003,0.034,,0.157,0.021,
16226975,QUEENS,Queens,11104,02/09/2019,2019,02/13/2019,0.009,0.034,,0.172,0.015,
14220720,BROOKLYN,Brooklyn,11214,02/11/2014,2014,02/18/2014,0.008,0.033,,0.188,0.028,
15223204,BROOKLYN,Brooklyn,11218,06/09/2015,2015,06/12/2015,0.008,0.033,,0.239,0.036,
16227930,BROOKLYN,Brooklyn,11234,03/24/2016,2016,03/28/2016,0.011,0.033,,0.155,0.069,
16234146,BROOKLYN,Brooklyn,11223,08/12/2016,2016,08/18/2016,0.01,0.033,,0.264,0.017,
17244376,BROOKLYN,Brooklyn,11228,09/28/2017,2017,10/03/2017,0.004,0.033,,0.145,0.028,
18253945,BROOKLYN,Brooklyn,11209,10/11/2018,2018,10/16/2018,0.008,0.033,,0.269,0.043,
19260512,BROOKLYN,Brooklyn,11215,05/24/2019,2019,05/28/2019,0.004,0.033,,0.154,0.032,
14220959,MASPETH,Queens,11378,04/01/2014,2014,04/04/2014,0.003,0.033,,0.261,0.034,
15223898,BROOKLYN,Brooklyn,11238,09/15/2015,2015,09/22/2015,0.004,0.032,,0.144,0.013,
16225048,BROOKLYN,Brooklyn,11230,01/30/2016,2016,02/05/2016,0.013,0.032,,0.344,0.074,
16300393,BROOKLYN,Brooklyn,11230,04/24/2016,2016,05/02/2016,0.01,0.032,0.004,0.262,0.069,0.026
16329240,BROOKLYN,Brooklyn,11234,06/14/2016,2016,06/17/2016,0.005,0.032,0.012,0.569,0.064,0.044
16235389,BROOKLYN,Brooklyn,11229,10/12/2016,2016,10/17/2016,0.005,0.032,,0.081,0.027,
18355625,BROOKLYN,Brooklyn,11209,12/01/2018,2018,12/07/2018,0.009,0.032,0.002,0.208,0.043,0.024
18354799,BROOKLYN,Brooklyn,11234,11/10/2018,2018,11/19/2018,0.004,0.032,0.002,0.145,0.025,0.015
16233077,NEW YORK,Manhattan,10009,12/29/2017,2017,01/02/2018,0.002,0.032,,0.465,0.084,
15222870,ASTORIA,Queens,11103,07/20/2015,2015,07/22/2015,0.005,0.031,,0.24,0.03,
16226130,ASTORIA,Queens,11105,02/26/2016,2016,02/29/2016,0.013,0.031,,0.124,0.016,
15223731,BROOKLYN,Brooklyn,11230,08/06/2015,2015,08/11/2015,0.006,0.031,,0.166,0.049,
17242632,BROOKLYN,Brooklyn,11225,06/10/2017,2017,06/15/2017,0.006,0.031,,0.138,0.019,
17346116,BROOKLYN,Brooklyn,11229,12/16/2017,2017,12/26/2017,0.016,0.031,0.003,0.14,0.053,0.016
18254576,BROOKLYN,Brooklyn,11234,10/29/2018,2018,10/31/2018,0.008,0.031,,0.128,0.014,
20270344,Manhattan,Brooklyn,11209,05/22/2020,2020,05/29/2020,0.004,0.031,,0.139,0.036,
14300305,SUNNYSIDE,Queens,11104,04/22/2014,2014,04/25/2014,0.007,0.031,0.003,0.11,0.023,0.011
16234405,ASTORIA,Queens,11105,08/31/2016,2016,09/12/2016,0.004,0.03,,0.404,0.07,
14300326,BRONX,Bronx,10463,09/23/2014,2014,09/29/2014,0.018,0.03,0.01,0.105,0.022,0.013
14221950,BRONX,Bronx,10465,10/03/2014,2014,10/03/2014,0.007,0.03,,0.21,0.027,
15222773,BROOKLYN,Brooklyn,11230,04/03/2015,2015,04/07/2015,0.023,0.03,,0.19,0.016,
15224145,BROOKLYN,Brooklyn,11216,12/17/2015,2015,12/21/2015,0.006,0.03,,0.383,0.041,
16225556,BROOKLYN,Brooklyn,11209,02/08/2016,2016,02/11/2016,0.007,0.03,,0.44,0.112,
16233448,BROOKLYN,Brooklyn,11233,08/19/2016,2016,08/29/2016,0.013,0.03,,0.254,0.081,
17345180,BROOKLYN,Brooklyn,11228,10/29/2017,2017,10/31/2017,0.015,0.03,0.002,0.289,0.026,0.014
15300364,FLUSHING,Queens,11358,07/28/2015,2015,07/31/2015,,0.03,0.003,,0.04,0.013
16329238,FLUSHING,Queens,11358,06/14/2016,2016,06/16/2016,0.007,0.03,0.003,0.101,0.01,0.008
19259641,QUEENS,Queens,11385,04/17/2019,2019,04/22/2019,0.002,0.03,,0.109,0.045,
17242720,STATEN ISLAND,Staten Island,10302,06/29/2017,2017,07/05/2017,0.024,0.03,,0.112,0.141,
16336294,ASTORIA,Queens,11103,12/18/2016,2016,12/22/2016,0.006,0.029,0.002,0.167,0.042,0.023
18250196,ASTORIA,Queens,11103,07/03/2018,2018,07/06/2018,0.009,0.029,,0.22,0.023,
14221108,BROOKLYN,Brooklyn,11235,04/20/2014,2014,04/23/2014,0.007,0.029,,0.229,0.033,
15224689,BROOKLYN,Brooklyn,11225,12/29/2015,2015,01/04/2016,0.013,0.029,,0.253,0.136,
16300390,BROOKLYN,Brooklyn,11230,03/03/2016,2016,03/08/2016,0.005,0.029,0.002,0.296,0.052,0.024
17241239,BROOKLYN,Brooklyn,11231,06/07/2017,2017,06/12/2017,0.002,0.029,,0.036,0.031,
17242878,BROOKLYN,Brooklyn,11201,06/18/2017,2017,06/23/2017,0.008,0.029,,0.152,0.144,
17343839,BROOKLYN,Brooklyn,11209,08/14/2017,2017,08/22/2017,0.004,0.029,0.002,0.106,0.019,0.012
17243193,BROOKLYN,Brooklyn,11215,08/24/2017,2017,08/28/2017,0.003,0.029,,0.199,0.029,
17244951,BROOKLYN,Brooklyn,11228,10/15/2017,2017,10/17/2017,0.007,0.029,,0.184,0.023,
19262856,BROOKLYN,Brooklyn,11237,10/05/2019,2019,10/15/2019,0.002,0.029,,0.123,0.054,
19263547,BROOKLYN,Brooklyn,11231,09/20/2019,2019,09/23/2019,0.007,0.029,,0.136,0.049,
19357423,BROOKLYN,Brooklyn,11220,02/13/2019,2019,02/20/2019,0.012,0.029,0.004,0.197,0.071,0.004
18349972,FOREST HILLS,Queens,11375,06/01/2018,2018,06/04/2018,0.008,0.029,0.002,0.176,0.045,0.033
20270765,Manhattan,Brooklyn,11215,07/03/2020,2020,07/13/2020,0.028,0.029,,0.13,0.022,
18348104,MIDDLE VILLAGE,Queens,11379,04/02/2018,2018,04/04/2018,0.007,0.029,0.002,0.113,0.015,0.008
16329275,NEW YORK,Manhattan,10024,10/19/2016,2016,10/31/2016,0.004,0.029,0.001,0.146,0.021,0.017
19360107,QUEENS,Queens,11385,05/17/2019,2019,05/30/2019,0.004,0.029,0.002,0.12,0.03,0.015
19265990,Queens,Queens,11421,01/05/2020,2020,01/08/2020,0.062,0.029,,0.258,0.175,
20374650,Queens,Queens,11429,10/14/2020,2020,10/23/2020,0.015,0.029,0.058,0.165,0.15,0.05
16236344,REGO PARK,Queens,11374,12/04/2016,2016,12/09/2016,0.005,0.029,,0.167,0.032,
17238372,BRONX,Bronx,10471,07/16/2018,2018,07/23/2018,0.005,0.028,,0.248,0.034,
14300337,BROOKLYN,Brooklyn,11230,11/24/2014,2014,12/01/2014,0.01,0.028,0.003,0.098,0.018,0.009
16226257,BROOKLYN,Brooklyn,11228,03/29/2016,2016,03/31/2016,0.006,0.028,,0.133,0.038,
16231016,BROOKLYN,Brooklyn,11204,09/06/2016,2016,09/12/2016,0.008,0.028,,0.171,0.092,
17243979,BROOKLYN,Brooklyn,11205,08/26/2017,2017,08/30/2017,0.008,0.028,,0.126,0.032,
17245021,BROOKLYN,Brooklyn,11231,10/20/2017,2017,10/23/2017,0.006,0.028,,0.174,0.032,
17344975,BROOKLYN,Brooklyn,11233,10/20/2017,2017,10/23/2017,0.011,0.028,0.003,0.115,0.017,0.012
17245789,BROOKLYN,Brooklyn,11229,11/24/2017,2017,11/27/2017,0.016,0.028,,0.145,0.043,
18248451,BROOKLYN,Brooklyn,11222,06/18/2018,2018,06/20/2018,0.011,0.028,,0.291,0.07,
18249312,BROOKLYN,Brooklyn,11206,06/08/2018,2018,06/12/2018,0.009,0.028,,0.028,0.086,
15223443,FLUSHING,Queens,11358,06/30/2015,2015,07/06/2015,0.004,0.028,,0.161,0.037,
16231696,FLUSHING,Queens,11358,05/23/2016,2016,05/25/2016,0.007,0.028,,0.108,0.012,
16329216,ROSEDALE,Queens,11422,04/13/2016,2016,04/19/2016,0.033,0.028,0.007,0.091,0.014,0.007
16225734,SUNNYSIDE,Queens,11104,03/06/2016,2016,03/10/2016,0.01,0.028,,0.15,0.019,
18350847,ASTORIA,Queens,11103,07/21/2018,2018,07/24/2018,0.005,0.027,0.003,0.187,0.021,0.014
16226932,BROOKLYN,Brooklyn,11217,03/23/2016,2016,03/28/2016,0.002,0.027,,0.129,0.017,
16235626,BROOKLYN,Brooklyn,11209,11/29/2016,2016,12/09/2016,0.025,0.027,,0.526,0.123,
17345292,BROOKLYN,Brooklyn,11231,11/09/2017,2017,11/13/2017,0.006,0.027,0.002,0.207,0.039,0.016
18354527,BROOKLYN,Brooklyn,11216,10/23/2018,2018,10/25/2018,0.008,0.027,0.004,0.208,0.035,0.021
19363965,BROOKLYN,Brooklyn,11216,10/03/2019,2019,10/08/2019,0.008,0.027,0.002,0.191,0.039,0.021
19262248,BROOKLYN,Brooklyn,11225,08/15/2019,2019,08/20/2019,0,0.027,,0.272,0.084,
18255786,BROOKLYN,Brooklyn,11203,02/16/2019,2019,02/19/2019,0.036,0.027,,0.298,0.19,
14222158,LITTLE NECK,Queens,11363,11/14/2014,2014,11/24/2014,0.005,0.027,,1.042,1.403,
19264579,Manhattan,Brooklyn,11234,12/03/2020,2020,12/11/2020,0.007,0.027,,0.187,0.029,
16329251,MIDDLE VILLAGE,Queens,11379,09/10/2016,2016,09/16/2016,0.014,0.027,0.003,0.111,0.019,0.011
18246927,MIDDLE VILLAGE,Queens,11379,03/12/2018,2018,03/13/2018,0.006,0.027,,0.107,0.01,
17243165,RIDGEWOOD,Queens,11385,07/06/2017,2017,07/07/2017,0.005,0.027,,0.11,0.018,
15223954,WOODSIDE,Queens,11377,10/03/2015,2015,10/08/2015,0.004,0.027,,0.235,0.048,
16225943,BRONX,Bronx,10468,02/21/2016,2016,02/26/2016,0.147,0.026,,3.324,0.907,
16228450,BRONX,Bronx,10467,04/07/2016,2016,04/18/2016,0.001,0.026,,0.151,0.11,
17239495,BROOKLYN,Brooklyn,11234,03/11/2017,2017,03/15/2017,0.008,0.026,,0.148,0.066,
17343985,BROOKLYN,Brooklyn,11228,08/29/2017,2017,09/01/2017,0.01,0.026,0.006,0.129,0.038,0.013
18254259,BROOKLYN,Brooklyn,11237,10/15/2018,2018,10/19/2018,0.003,0.026,,0.354,0.145,
19363037,BROOKLYN,Brooklyn,11225,10/27/2019,2019,11/04/2019,0.006,0.026,0.001,0.315,0.034,0.018
19258904,BROOKLYN,Brooklyn,11230,04/08/2019,2019,04/15/2019,0.005,0.026,,0.235,0.029,
18249121,FOREST HILLS,Queens,11375,05/15/2018,2018,05/16/2018,0.004,0.026,,0.205,0.046,
20367913,Queens,Queens,11375,02/05/2020,2020,02/07/2020,0.009,0.026,0.002,0.261,0.021,0.012
16235049,ASTORIA,Queens,11103,11/10/2016,2016,11/16/2016,0.006,0.025,,0.124,0.03,
15223640,BAYSIDE,Queens,11361,07/26/2015,2015,07/29/2015,0.115,0.025,,0.082,0.013,
14221377,BROOKLYN,Brooklyn,11238,06/30/2014,2014,07/08/2014,0.009,0.025,,0.098,0.042,
17339692,BROOKLYN,Brooklyn,11209,03/20/2017,2017,03/28/2017,0.006,0.025,0.002,0.204,0.018,0.01
18248640,BROOKLYN,Brooklyn,11238,05/17/2018,2018,05/18/2018,0.004,0.025,,0.068,0.013,
16230725,JACKSON HEIGHTS,Queens,11372,05/14/2016,2016,05/23/2016,0.009,0.025,,0.195,0.304,
20271805,Manhattan,Brooklyn,11238,08/19/2020,2020,08/24/2020,0.011,0.025,,0.21,0.059,
