geo_type,geo_area_id,geo_area_name,borough_id,borough_name,time_period,Children under 6 years with elevated blood lead levels (BLL) Number BLL >=5 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL >=5 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=10 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=10 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=15 µg/dL,Children under 6 years with elevated blood lead levels (BLL) Number BLL>=15 µg/dL _NOTES,Children under 6 years with elevated blood lead levels (BLL) Number Tested,Children under 6 years with elevated blood lead levels (BLL) Number Tested _NOTES,"Children under 6 years with elevated blood lead levels (BLL) Rate  BLL>=5 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate  BLL>=5 µg/dL per 1,000 tested_NOTES","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=10 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=10 µg/dL per 1,000 tested_NOTES","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=15 µg/dL per 1,000 tested","Children under 6 years with elevated blood lead levels (BLL) Rate BLL>=15 µg/dL per 1,000 tested_NOTES"
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,Brooklyn,2012,417,,50,,17,,"11,200",,37.2,,4.5,,1.5,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,Brooklyn,2005,"2,072",,178,,70,,"11,600",,178.3,,15.3,,6,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,Brooklyn,2008,925,,84,,30,,"11,700",,79.4,,7.2,,2.6,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,Brooklyn,2011,530,,65,,21,,"12,000",,44,,5.4,,1.7,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,Brooklyn,2015,200,,34,,15,,"9,200",,21.7,,3.7,,1.6,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,Brooklyn,2009,765,,89,,32,,"11,900",,64.5,,7.5,,2.7,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,Brooklyn,2006,"1,837",,155,,47,,"11,600",,158.5,,13.4,,4.1,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,Brooklyn,2013,315,,37,,15,,"10,600",,29.7,,3.5,,1.4,
Neighborhood (UHF 42),211,Williamsburg - Bushwick,2,Brooklyn,2014,271,,40,,20,,"9,900",,27.3,,4,,2,
Neighborhood (UHF 42),503,Willowbrook,5,Staten Island,2013,22,,1,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,"2,300",,9.5,,0.4,*Estimate is based on small numbers so should be interpreted with caution.,0.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,Staten Island,2008,55,,1,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,"2,600",,20.9,,0.4,*Estimate is based on small numbers so should be interpreted with caution.,0.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,Staten Island,2009,65,,11,*Estimate is based on small numbers so should be interpreted with caution.,3,*Estimate is based on small numbers so should be interpreted with caution.,"2,600",,25.1,,4.3,*Estimate is based on small numbers so should be interpreted with caution.,1.2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,Staten Island,2007,88,,4,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,"2,600",,33.5,,1.5,*Estimate is based on small numbers so should be interpreted with caution.,0.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,Staten Island,2010,37,,5,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,"2,600",,14.1,,1.9,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,Staten Island,2016,19,,3,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.,"2,200",,8.8,,1.4,*Estimate is based on small numbers so should be interpreted with caution.,0,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,Staten Island,2005,108,,3,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,"2,400",,44.6,,1.2,*Estimate is based on small numbers so should be interpreted with caution.,0.8,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,Staten Island,2012,27,,6,*Estimate is based on small numbers so should be interpreted with caution.,3,*Estimate is based on small numbers so should be interpreted with caution.,"2,400",,11.2,,2.5,*Estimate is based on small numbers so should be interpreted with caution.,1.2,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,Staten Island,2014,16,,2,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,"2,200",,7.1,,0.9,*Estimate is based on small numbers so should be interpreted with caution.,0.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,Staten Island,2011,37,,2,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,"2,500",,14.6,,0.8,*Estimate is based on small numbers so should be interpreted with caution.,0.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,Staten Island,2006,96,,4,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,"2,400",,39.3,,1.6,*Estimate is based on small numbers so should be interpreted with caution.,0.4,*Estimate is based on small numbers so should be interpreted with caution.
Neighborhood (UHF 42),503,Willowbrook,5,Staten Island,2015,9,*Estimate is based on small numbers so should be interpreted with caution.,2,*Estimate is based on small numbers so should be interpreted with caution.,1,*Estimate is based on small numbers so should be interpreted with caution.,"2,200",,4,*Estimate is based on small numbers so should be interpreted with caution.,0.9,*Estimate is based on small numbers so should be interpreted with caution.,0.4,*Estimate is based on small numbers so should be interpreted with caution.
